
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
5.11796236e-01, 5.69999993e-01, 4.99999989e-03, -5.43088876e-02, -1.82555228e-01, 7.33588189e-02
5.31569004e-01, 5.70118368e-01, 4.99999989e-03, -5.51876388e-02, -1.89862847e-01, 5.24357259e-02
5.41450560e-01, 5.70245564e-01, 4.99999989e-03, -5.55035993e-02, -1.93432868e-01, 4.13825996e-02
4.41269875e-01, 5.69181144e-01, 4.99999989e-03, -4.89776768e-02, -1.56413525e-01, 1.34145036e-01
5.48545241e-01, 4.30595428e-01, 4.99999989e-03, -1.96240805e-02, -2.22049981e-01, -8.57833307e-03
5.38360834e-01, 4.30341244e-01, 4.99999989e-03, -1.98883992e-02, -2.19950497e-01, 5.28095115e-04
5.58711171e-01, 4.30811077e-01, 4.99999989e-03, -1.93100963e-02, -2.23871708e-01, -1.79174263e-02
5.70449233e-01, 5.51312625e-01, 4.99999989e-03, -5.00801988e-02, -2.15135798e-01, -2.32077437e-04
5.70264161e-01, 5.41521132e-01, 4.99999989e-03, -4.71789166e-02, -2.19793767e-01, -3.25656775e-03
5.70627749e-01, 5.61127245e-01, 4.99999989e-03, -5.29996827e-02, -2.09740013e-01, 2.84494343e-03
5.51277578e-01, 5.70376098e-01, 4.99999989e-03, -5.57326116e-02, -1.96914911e-01, 2.99611762e-02
5.61080277e-01, 5.70634663e-01, 4.99999989e-03, -5.58760799e-02, -2.00292319e-01, 1.81742366e-02
5.70108831e-01, 5.31711936e-01, 4.99999989e-03, -4.42901254e-02, -2.23732561e-01, -6.24235533e-03
5.70077062e-01, 5.21768570e-01, 4.99999989e-03, -4.14214730e-02, -2.26956740e-01, -9.17241536e-03
5.69999993e-01, 5.11874557e-01, 4.99999989e-03, -3.86074372e-02, -2.29457572e-01, -1.19914506e-02
5.70006371e-01, 5.01907885e-01, 4.99999989e-03, -3.58550288e-02, -2.31243521e-01, -1.46741215e-02
5.69974959e-01, 4.91921604e-01, 4.99999989e-03, -3.31654102e-02, -2.32330799e-01, -1.71888601e-02
5.69918215e-01, 4.81939703e-01, 4.99999989e-03, -3.05624828e-02, -2.32729197e-01, -1.94806233e-02
5.69766223e-01, 4.71810400e-01, 4.99999989e-03, -2.80243419e-02, -2.32459635e-01, -2.15341952e-02
5.69637656e-01, 4.61721629e-01, 4.99999989e-03, -2.55942494e-02, -2.31557727e-01, -2.33617332e-02
5.69278896e-01, 4.41432834e-01, 4.99999989e-03, -2.10572667e-02, -2.27997735e-01, -2.63455585e-02
5.69453716e-01, 4.51602519e-01, 4.99999989e-03, -2.32776497e-02, -2.30062038e-01, -2.49718726e-02
5.28300285e-01, 4.30224776e-01, 4.99999989e-03, -2.01050397e-02, -2.17594892e-01, 9.38722584e-03
5.18211663e-01, 4.30103272e-01, 4.99999989e-03, -2.02736128e-02, -2.15003937e-01, 1.79859698e-02
5.08222222e-01, 4.30044979e-01, 4.99999989e-03, -2.03930624e-02, -2.12192744e-01, 2.63140947e-02
4.98203725e-01, 4.30000007e-01, 4.99999989e-03, -2.04685740e-02, -2.09168762e-01, 3.43762822e-02
4.88203734e-01, 4.30000007e-01, 4.99999989e-03, -2.04960275e-02, -2.05945477e-01, 4.21548784e-02
4.78339642e-01, 4.29918915e-01, 4.99999989e-03, -2.04748176e-02, -2.02547386e-01, 4.96114828e-02
4.68430996e-01, 4.29881662e-01, 4.99999989e-03, -2.04077028e-02, -1.98982820e-01, 5.67492358e-02
4.58549470e-01, 4.29754466e-01, 4.99999989e-03, -2.02938132e-02, -1.95259988e-01, 6.35771826e-02
4.29550916e-01, 4.48687553e-01, 4.99999989e-03, -2.30966192e-02, -1.84263766e-01, 9.02544633e-02
4.29735929e-01, 4.58478987e-01, 4.99999989e-03, -2.48959996e-02, -1.84163392e-01, 9.44653898e-02
4.29372370e-01, 4.38872933e-01, 4.99999989e-03, -2.13606078e-02, -1.83964983e-01, 8.61190706e-02
4.48722452e-01, 4.29623932e-01, 4.99999989e-03, -2.01357752e-02, -1.91397965e-01, 7.00674728e-02
4.38919872e-01, 4.29365456e-01, 4.99999989e-03, -1.99326500e-02, -1.87406823e-01, 7.62157366e-02
4.29891139e-01, 4.68288124e-01, 4.99999989e-03, -2.67656595e-02, -1.83634579e-01, 9.87653062e-02
4.29918915e-01, 4.78236228e-01, 4.99999989e-03, -2.87049711e-02, -1.82656363e-01, 1.03148364e-01
4.30000007e-01, 4.88125443e-01, 4.99999989e-03, -3.06984093e-02, -1.81225553e-01, 1.07572228e-01
4.30000007e-01, 4.98048991e-01, 4.99999989e-03, -3.27351727e-02, -1.79332450e-01, 1.12010628e-01
4.30000007e-01, 5.08049011e-01, 4.99999989e-03, -3.48240621e-02, -1.76967621e-01, 1.16446629e-01
4.30027038e-01, 5.18074930e-01, 4.99999989e-03, -3.69516909e-02, -1.74132705e-01, 1.20840222e-01
4.30126458e-01, 5.28111041e-01, 4.99999989e-03, -3.91211994e-02, -1.70828104e-01, 1.25155225e-01
4.30290341e-01, 5.38190961e-01, 4.99999989e-03, -4.13129255e-02, -1.67044446e-01, 1.29365981e-01
4.30796266e-01, 5.58681250e-01, 4.99999989e-03, -4.57806401e-02, -1.57973573e-01, 1.37422085e-01
4.30534452e-01, 5.48428059e-01, 4.99999989e-03, -4.35433649e-02, -1.62761226e-01, 1.33460894e-01
4.31080401e-01, 5.68922579e-01, 4.99999989e-03, -4.80115525e-02, -1.52689964e-01, 1.41218126e-01
5.68960786e-01, 4.31172043e-01, 4.99999989e-03, -1.89420544e-02, -2.25393891e-01, -2.74719968e-02
5.70873022e-01, 5.70964038e-01, 4.99999989e-03, -5.59126213e-02, -2.03598320e-01, 5.99685730e-03
4.29127097e-01, 4.29036051e-01, 4.99999989e-03, -1.96974315e-02, -1.83300167e-01, 8.20522979e-02
4.20409381e-01, 5.48295140e-01, 4.99999989e-03, -4.27042693e-02, -1.58648878e-01, 1.40111461e-01
4.20525074e-01, 5.58373630e-01, 4.99999989e-03, -4.48556840e-02, -1.54031366e-01, 1.44101396e-01
4.20821875e-01, 5.68608642e-01, 4.99999989e-03, -4.70186733e-02, -1.48950040e-01, 1.47908852e-01
4.31330472e-01, 5.79192460e-01, 4.99999989e-03, -5.02147786e-02, -1.46903455e-01, 1.44853234e-01
4.41482902e-01, 5.79459429e-01, 4.99999989e-03, -5.12344614e-02, -1.50423825e-01, 1.37787402e-01
