
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.89388478e-01, 2.03148983e-02, 5.99999970e-04, 1.97084675e+01, 2.61322018e-02, -1.13630891e-02
2.86999822e-01, 1.98140834e-02, 5.99999970e-04, 1.94603996e+01, 2.38392036e-02, -3.97109054e-03
2.90188700e-01, 1.76488943e-02, 5.99999970e-04, 1.99666309e+01, 1.65344551e-02, -1.22477049e-02
2.89837062e-01, 1.65901948e-02, 5.99999970e-04, 1.99772720e+01, 1.32693788e-02, -1.06572201e-02
2.90711135e-01, 1.65982600e-02, 5.99999970e-04, 2.01022034e+01, 1.39838262e-02, -1.28501179e-02
2.91136086e-01, 1.73163917e-02, 5.99999970e-04, 2.01376400e+01, 1.65474433e-02, -1.49911866e-02
2.88957357e-01, 1.67086739e-02, 5.99999970e-04, 1.98200645e+01, 1.25122406e-02, -8.02592561e-03
2.89167464e-01, 1.77649986e-02, 5.99999970e-04, 1.97975845e+01, 1.61545314e-02, -9.17999633e-03
4.97914515e-02, 6.26868531e-02, 5.99999970e-04, 4.05677299e+01, 3.19308378e-02, -7.13800639e-02
5.08910641e-02, 6.25577420e-02, 5.99999970e-04, 3.94774590e+01, 5.38559332e-02, -7.06431419e-02
5.09303845e-02, 6.34622127e-02, 5.99999970e-04, 3.84101372e+01, 5.13780452e-02, -8.60987306e-02
4.96898703e-02, 6.37213364e-02, 5.99999970e-04, 3.89963455e+01, 3.12602296e-02, -9.12619531e-02
5.02084792e-02, 6.47505820e-02, 5.99999970e-04, 3.74554596e+01, 3.93486097e-02, -1.04265682e-01
5.10827042e-02, 6.43464848e-02, 5.99999970e-04, 3.72325783e+01, 5.14467657e-02, -9.92021859e-02
4.94075045e-02, 6.52057752e-02, 5.99999970e-04, 3.72762413e+01, 2.96834446e-02, -1.11925170e-01
4.89337258e-02, 6.45806193e-02, 5.99999970e-04, 3.78457222e+01, 2.21651420e-02, -1.06294215e-01
2.71387577e-01, 4.85086739e-02, 5.99999970e-04, 1.78974438e+01, 1.55509621e-01, 5.60726486e-02
2.71750152e-01, 4.88873497e-02, 5.99999970e-04, 1.79486732e+01, 1.53798208e-01, 5.78662418e-02
2.71551371e-01, 4.94122244e-02, 5.99999970e-04, 1.78140259e+01, 1.53302193e-01, 5.95240071e-02
2.70793289e-01, 4.92515825e-02, 5.99999970e-04, 1.75614376e+01, 1.56283453e-01, 5.73095940e-02
2.72214502e-01, 4.88057956e-02, 5.99999970e-04, 1.81219025e+01, 1.52201504e-01, 5.86131737e-02
2.72199839e-01, 4.94255461e-02, 5.99999970e-04, 1.80753899e+01, 1.50940076e-01, 6.08890951e-02
2.72085607e-01, 4.83615771e-02, 5.99999970e-04, 1.81486378e+01, 1.53141022e-01, 5.67410812e-02
2.70931810e-01, 4.80298437e-02, 5.99999970e-04, 1.78028831e+01, 1.57556728e-01, 5.33125103e-02
2.71830887e-01, 4.77397926e-02, 5.99999970e-04, 1.81589909e+01, 1.54558718e-01, 5.39965890e-02
2.69946486e-01, 4.87706773e-02, 5.99999970e-04, 1.72703037e+01, 1.60018936e-01, 5.39998896e-02
2.75393009e-01, 4.55782823e-02, 5.99999970e-04, 1.98106728e+01, 1.41753078e-01, 5.29864281e-02
2.75647998e-01, 4.64735217e-02, 5.99999970e-04, 1.98419609e+01, 1.40671015e-01, 5.67216948e-02
2.76020437e-01, 4.53016013e-02, 5.99999970e-04, 2.00420341e+01, 1.39275253e-01, 5.30398786e-02
2.76587605e-01, 4.63360436e-02, 5.99999970e-04, 2.01868649e+01, 1.36850208e-01, 5.82461767e-02
2.97933340e-01, 6.55921549e-02, 5.99999970e-04, 2.26267757e+01, 4.49397601e-02, 9.24196690e-02
2.98610091e-01, 6.60188496e-02, 5.99999970e-04, 2.26093330e+01, 4.43519838e-02, 8.94305781e-02
2.98614323e-01, 6.66317344e-02, 5.99999970e-04, 2.26174965e+01, 4.44635302e-02, 8.94842446e-02
2.97836572e-01, 6.64670467e-02, 5.99999970e-04, 2.26502380e+01, 4.52878475e-02, 9.40482765e-02
2.99194992e-01, 6.58146441e-02, 5.99999970e-04, 2.25755596e+01, 4.36365157e-02, 8.60920250e-02
2.99619615e-01, 6.66765049e-02, 5.99999970e-04, 2.25672569e+01, 4.35924195e-02, 8.49410594e-02
2.98574477e-01, 6.50613457e-02, 5.99999970e-04, 2.25926838e+01, 4.40626666e-02, 8.84069800e-02
6.99580833e-02, 7.18887746e-02, 5.99999970e-04, 2.29164944e+01, 1.17492042e-01, -5.44120520e-02
7.08370432e-02, 7.19000921e-02, 5.99999970e-04, 2.37800636e+01, 1.03060134e-01, -3.86504903e-02
7.06798807e-02, 7.25635439e-02, 5.99999970e-04, 2.27633495e+01, 1.02845274e-01, -2.91339625e-02
6.99754655e-02, 7.27252364e-02, 5.99999970e-04, 2.17134132e+01, 1.13815084e-01, -3.98577079e-02
7.01510161e-02, 7.34589994e-02, 5.99999970e-04, 2.04562073e+01, 1.05816737e-01, -2.36387923e-02
7.12052137e-02, 7.30881542e-02, 5.99999970e-04, 2.26089077e+01, 8.85919109e-02, -1.08095258e-02
7.16421530e-02, 7.20254108e-02, 5.99999970e-04, 2.45388451e+01, 8.76024514e-02, -2.32260600e-02
6.92325532e-02, 7.35618770e-02, 5.99999970e-04, 1.87657356e+01, 1.21127799e-01, -4.30405736e-02
6.91676065e-02, 7.43330270e-02, 5.99999970e-04, 1.69271469e+01, 1.13469005e-01, -3.15551274e-02
6.81155771e-02, 7.42038041e-02, 5.99999970e-04, 1.62206669e+01, 1.30287662e-01, -6.06804639e-02
6.84498399e-02, 7.36183971e-02, 5.99999970e-04, 1.78347664e+01, 1.32108152e-01, -6.07958436e-02
6.81788251e-02, 7.30583072e-02, 5.99999970e-04, 1.88171577e+01, 1.37784511e-01, -7.49737397e-02
6.91198111e-02, 7.28071034e-02, 5.99999970e-04, 2.02457905e+01, 1.26814187e-01, -5.70954978e-02
6.72454536e-02, 7.35557526e-02, 5.99999970e-04, 1.68727016e+01, 1.44392639e-01, -9.20998454e-02
2.86600173e-01, 2.43434031e-02, 5.99999970e-04, 1.95771103e+01, 4.95745577e-02, 1.58765458e-03
2.87101775e-01, 2.37502288e-02, 5.99999970e-04, 1.95600433e+01, 4.58599851e-02, -9.65316605e-04
2.87720561e-01, 2.46099159e-02, 5.99999970e-04, 1.96691570e+01, 4.92977276e-02, -2.43709935e-03
2.86901832e-01, 2.50382349e-02, 5.99999970e-04, 1.96718674e+01, 5.23318276e-02, 1.18828495e-03
2.85906136e-01, 2.42441427e-02, 5.99999970e-04, 1.95285492e+01, 4.97472212e-02, 3.56513122e-03
2.86104649e-01, 2.56704334e-02, 5.99999970e-04, 1.96828480e+01, 5.65441847e-02, 4.80943592e-03
6.85137063e-02, 5.06285913e-02, 5.99999970e-04, 2.24739780e+01, 9.38764662e-02, -1.76260695e-01
6.78740814e-02, 5.08781336e-02, 5.99999970e-04, 2.26237469e+01, 9.53474417e-02, -1.74957156e-01
